student_id,name,age,gender,study_hours,attendance_percentage,previous_score,assignment_score,midterm_score,absences,sleep_hours,internet_access,parental_education,family_income,extracurricular,study_environment,final_score,performance
STU00001,Allison Hill,16,Male,3.3,97.5,77.6,71.9,40.9,23,4.9,No,Diploma,Low,Yes,Poor,66.38,Pass
STU00002,Noah Rhodes,16,Female,0.7,98.5,84.1,44.9,42.7,1,5.1,Yes,High School,Low,Yes,Poor,57.32,Pass
STU00003,Angie Henderson,18,Female,2.8,76.2,58.1,50.4,72.8,7,4.8,No,Graduate,Low,Yes,Excellent,52.12,Pass
STU00004,Daniel Wagner,20,Female,3.9,89.3,43.0,66.0,71.5,4,4.3,Yes,Graduate,Low,Yes,Excellent,54.09,Pass
STU00005,Cristian Santos,16,Female,5.1,58.5,34.2,96.4,97.6,27,8.9,No,Graduate,Low,No,Poor,64.0,Pass
STU00006,Connie Lawrence,21,Male,5.6,72.0,37.9,64.7,32.4,17,9.5,No,Graduate,High,Yes,Poor,49.98,Fail
STU00007,Abigail Shaffer,15,Male,2.4,83.1,50.3,66.4,68.3,24,5.1,No,High School,Low,Yes,Excellent,59.54,Pass
STU00008,Gina Moore,19,Female,1.2,59.8,32.9,52.8,57.2,20,5.6,No,Diploma,Middle,No,Average,43.02,Fail
STU00009,Gabrielle Davis,19,Male,6.7,67.8,48.3,68.0,39.9,19,8.8,Yes,Diploma,Low,No,Excellent,52.66,Pass
STU00010,Ryan Munoz,19,Male,0.5,90.8,75.9,81.0,84.0,21,4.4,No,High School,Low,Yes,Good,66.79,Pass
STU00011,Monica Herrera,21,Female,3.2,55.8,86.1,73.6,53.2,2,4.4,Yes,Graduate,Low,No,Excellent,50.88,Pass
STU00012,Jamie Arnold,22,Male,6.0,81.9,87.7,63.1,38.4,8,8.3,Yes,Diploma,High,No,Excellent,57.22,Pass
STU00013,Lisa Hensley,21,Female,6.2,78.1,80.1,64.6,66.6,7,6.6,Yes,Postgraduate,Low,Yes,Poor,68.64,Pass
STU00014,Michele Williams,17,Male,2.9,75.4,89.0,47.5,58.7,25,8.5,No,High School,Middle,No,Excellent,55.92,Pass
STU00015,Dylan Miller,19,Male,2.2,53.8,48.8,41.3,95.1,21,8.8,Yes,Graduate,High,No,Poor,59.05,Pass
